latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.65707,131.38689,348.21,1.79,1.31,2024-06-27,0113,T,94,6.1NRT,300.79,120.54,D
-12.65905,131.40311,313.16,1.8,1.31,2024-06-27,0113,T,46,6.1NRT,298.38,10.84,D
-12.68004,131.28618,313.39,1.76,1.3,2024-06-27,0113,T,58,6.1NRT,298.72,13.55,D
-12.68203,131.30212,319.28,1.77,1.3,2024-06-27,0113,T,71,6.1NRT,298.32,24.97,D
-12.72634,130.66104,320.93,1.58,1.24,2024-06-27,0113,T,21,6.1NRT,298.25,23.73,D
-12.7282,130.67538,343.83,1.59,1.24,2024-06-27,0113,T,0,6.1NRT,299.88,85.95,D
-12.73736,130.65959,332.87,1.58,1.24,2024-06-27,0113,T,57,6.1NRT,298.98,48.77,D
-12.72914,130.6689,344.77,1.59,1.24,2024-06-27,0113,T,61,6.1NRT,300.55,84.46,D
-12.7384,130.65311,322.96,1.58,1.24,2024-06-27,0113,T,8,6.1NRT,298.43,22.12,D
-12.74018,130.66743,342.44,1.59,1.24,2024-06-27,0113,T,79,6.1NRT,300.43,76.67,D
-12.76968,130.63458,327.09,1.58,1.24,2024-06-27,0113,T,67,6.1NRT,298.64,35.12,D
-13.21051,130.67978,316.24,1.62,1.25,2024-06-27,0113,T,61,6.1NRT,298.69,15.31,D
-13.21232,130.6944,321.39,1.62,1.25,2024-06-27,0113,T,73,6.1NRT,299.58,24.44,D
-13.46965,130.92372,316.35,1.7,1.28,2024-06-27,0113,T,65,6.1NRT,298.99,17.78,D
-13.48104,130.92227,313.44,1.7,1.28,2024-06-27,0113,T,48,6.1NRT,299.6,11.93,D
-14.17019,130.21172,343.01,1.54,1.22,2024-06-27,0113,T,92,6.1NRT,302.32,76.86,D
-14.17193,130.22568,323.59,1.55,1.23,2024-06-27,0113,T,77,6.1NRT,301.2,24.63,D
-14.50344,130.14941,331.82,1.54,1.22,2024-06-27,0115,T,85,6.1NRT,300.22,45.47,D
-14.50525,130.16345,324.63,1.55,1.23,2024-06-27,0115,T,78,6.1NRT,299.91,28.76,D
-14.50551,130.14267,318.49,1.54,1.22,2024-06-27,0115,T,71,6.1NRT,299.4,18.34,D
-14.50723,130.15666,329.58,1.55,1.23,2024-06-27,0115,T,83,6.1NRT,299.7,41.56,D
-15.55066,128.97163,325.61,1.33,1.14,2024-06-27,0115,T,80,6.1NRT,302.74,26.16,D
-15.55219,128.98384,321.55,1.33,1.14,2024-06-27,0115,T,75,6.1NRT,302.39,19.39,D
-16.86662,127.09169,336.33,1.1,1.04,2024-06-27,0115,T,88,6.1NRT,299.4,38.41,D
-16.93437,127.10271,310.38,1.1,1.04,2024-06-27,0115,T,58,6.1NRT,298.21,6.92,D
-16.98005,127.1107,317.49,1.1,1.05,2024-06-27,0115,T,72,6.1NRT,298.19,13.58,D
-17.07292,126.9781,318.01,1.09,1.04,2024-06-27,0115,T,73,6.1NRT,300.68,11.84,D
